socio,socio_key,registered_event_count,registered_event_titles,registered_event_keys,registered_event_pairs,event_interest_source_rows,event_interest_confidence
ASENSE,asense,2,Acercándonos al mercado asiático Best Practices 2 | Conectando sistemas de sensores inteligentes para la industria agroalimentaria,acercndonosalmercadoasiticobestpractices2 | conectandosistemasdesensoresinteligentesparalaindustriaagroalimentaria,acercndonosalmercadoasiticobestpractices2::Acercándonos al mercado asiático Best Practices 2 | conectandosistemasdesensoresinteligentesparalaindustriaagroalimentaria::Conectando sistemas de sensores inteligentes para la industria agroalimentaria,2,medium
CalSens,calsens,2,Deep Tech para una agricultura inteligente | Deep tech para tratamiento de agua,deeptechparatratamientodeagua | deeptechparaunaagriculturainteligente,deeptechparatratamientodeagua::Deep tech para tratamiento de agua | deeptechparaunaagriculturainteligente::Deep Tech para una agricultura inteligente,3,high
Celsa,celsa,2,31BIEMH Cena de Networking | AI for Industry International Congress,31biemhcenadenetworking | aiforindustryinternationalcongress,31biemhcenadenetworking::31BIEMH Cena de Networking | aiforindustryinternationalcongress::AI for Industry International Congress,2,high
Draco Systems,dracosystems,2,Aplicaciones de robótica móvil colaborativa para la industria 4.0 | Branding para Pymes Best Practices,aplicacionesderobticamvilcolaborativaparalaindustria40 | brandingparapymesbestpractices,aplicacionesderobticamvilcolaborativaparalaindustria40::Aplicaciones de robótica móvil colaborativa para la industria 4.0 | brandingparapymesbestpractices::Branding para Pymes Best Practices,2,high
EXOM engineering,exomengineering,2,DELVY 6 Novedades del Real Decreto 13 2022 sobre la nueva cotización de autónomos | Deep Tech para una agricultura inteligente,deeptechparaunaagriculturainteligente | delvy6novedadesdelrealdecreto132022sobrelanuevacotizacindeautnomos,deeptechparaunaagriculturainteligente::Deep Tech para una agricultura inteligente | delvy6novedadesdelrealdecreto132022sobrelanuevacotizacindeautnomos::DELVY 6 Novedades del Real Decreto 13 2022 sobre la nueva cotización de autónomos,2,high
Grupo Oesía,grupooesia,2,AI for Industry International Congress | Aplicaciones de la Luz para la Industria Aeroespacial,aiforindustryinternationalcongress | aplicacionesdelaluzparalaindustriaaeroespacial,aiforindustryinternationalcongress::AI for Industry International Congress | aplicacionesdelaluzparalaindustriaaeroespacial::Aplicaciones de la Luz para la Industria Aeroespacial,2,medium
HP,hp,2,A new era in food security | Deep Tech y ética,anewerainfoodsecurity | deeptechytica,anewerainfoodsecurity::A new era in food security | deeptechytica::Deep Tech y ética,2,high
IRTA,irta,2,Deep Tech para una agricultura inteligente | Listeria 0 Tecnologías disruptivas en la industria del ibérico para garantizar la seguridad alimentaria,deeptechparaunaagriculturainteligente | listeria0tecnologasdisruptivasenlaindustriadelibricoparagarantizarlaseguridadalimentaria,deeptechparaunaagriculturainteligente::Deep Tech para una agricultura inteligente | listeria0tecnologasdisruptivasenlaindustriadelibricoparagarantizarlaseguridadalimentaria::Listeria 0 Tecnologías disruptivas en la industria del ibérico para garantizar la seguridad alimentaria,3,high
LÚCID,lucid,2,Branding para Pymes Best Practices | CPI en sector sanitario Sesión de trabajo,brandingparapymesbestpractices | cpiensectorsanitariosesindetrabajo,brandingparapymesbestpractices::Branding para Pymes Best Practices | cpiensectorsanitariosesindetrabajo::CPI en sector sanitario Sesión de trabajo,2,high
Mapsi Photonics,mapsiphotonics,2,Aplicaciones de las tecnologías de terahercios | Conectando sistemas de sensores inteligentes para la industria agroalimentaria,aplicacionesdelastecnologasdeterahercios | conectandosistemasdesensoresinteligentesparalaindustriaagroalimentaria,aplicacionesdelastecnologasdeterahercios::Aplicaciones de las tecnologías de terahercios | conectandosistemasdesensoresinteligentesparalaindustriaagroalimentaria::Conectando sistemas de sensores inteligentes para la industria agroalimentaria,2,medium
Nanophotonics Technology Center,nanophotonicstechnologycenter,2,Acercándonos al mercado asiático Best Practices 2 | Automatización del proceso de corte con láser mediante fabricación aditiva con termoplásticos,acercndonosalmercadoasiticobestpractices2 | automatizacindelprocesodecorteconlsermediantefabricacinaditivacontermoplsticos,acercndonosalmercadoasiticobestpractices2::Acercándonos al mercado asiático Best Practices 2 | automatizacindelprocesodecorteconlsermediantefabricacinaditivacontermoplsticos::Automatización del proceso de corte con láser mediante fabricación aditiva con termoplásticos,3,high
New Infrared Technologies,newinfraredtechnologies,2,Acercándonos al mercado asiático Best Practices 2 | Conectando sistemas de sensores inteligentes para la industria agroalimentaria,acercndonosalmercadoasiticobestpractices2 | conectandosistemasdesensoresinteligentesparalaindustriaagroalimentaria,acercndonosalmercadoasiticobestpractices2::Acercándonos al mercado asiático Best Practices 2 | conectandosistemasdesensoresinteligentesparalaindustriaagroalimentaria::Conectando sistemas de sensores inteligentes para la industria agroalimentaria,2,high
Repsol,repsol,2,Aplicaciones de robótica móvil colaborativa para la industria 4.0 | Deep Tech y ética,aplicacionesderobticamvilcolaborativaparalaindustria40 | deeptechytica,aplicacionesderobticamvilcolaborativaparalaindustria40::Aplicaciones de robótica móvil colaborativa para la industria 4.0 | deeptechytica::Deep Tech y ética,4,high
Robotnik,robotnik,2,31BIEMH Cena de Networking | Branding para Pymes Best Practices,31biemhcenadenetworking | brandingparapymesbestpractices,31biemhcenadenetworking::31BIEMH Cena de Networking | brandingparapymesbestpractices::Branding para Pymes Best Practices,2,high
Stimulo,stimulo,2,Branding para Pymes Best Practices | Listeria 0 Tecnologías disruptivas en la industria del ibérico para garantizar la seguridad alimentaria,brandingparapymesbestpractices | listeria0tecnologasdisruptivasenlaindustriadelibricoparagarantizarlaseguridadalimentaria,brandingparapymesbestpractices::Branding para Pymes Best Practices | listeria0tecnologasdisruptivasenlaindustriadelibricoparagarantizarlaseguridadalimentaria::Listeria 0 Tecnologías disruptivas en la industria del ibérico para garantizar la seguridad alimentaria,2,high
Visiona,visiona,2,CPI en sector sanitario Sesión de trabajo | DELVY 4 ¿Cómo afecta la normativa de protección de datos a tu empresa,cpiensectorsanitariosesindetrabajo | delvy4cmoafectalanormativadeproteccindedatosatuempresa,cpiensectorsanitariosesindetrabajo::CPI en sector sanitario Sesión de trabajo | delvy4cmoafectalanormativadeproteccindedatosatuempresa::DELVY 4 ¿Cómo afecta la normativa de protección de datos a tu empresa,2,high
t2c,t2c,2,CPI en sector sanitario Sesión de trabajo | DELVY 3 Phantom Shares vs stock options,cpiensectorsanitariosesindetrabajo | delvy3phantomsharesvsstockoptions,cpiensectorsanitariosesindetrabajo::CPI en sector sanitario Sesión de trabajo | delvy3phantomsharesvsstockoptions::DELVY 3 Phantom Shares vs stock options,2,high
BSH,bsh,1,Aplicación de las tecnologías de la luz en la gestión del agua urbana e industrial,aplicacindelastecnologasdelaluzenlagestindelaguaurbanaeindustrial,aplicacindelastecnologasdelaluzenlagestindelaguaurbanaeindustrial::Aplicación de las tecnologías de la luz en la gestión del agua urbana e industrial,1,unknown
COVAP,covap,1,Conectando sistemas de sensores inteligentes para la industria agroalimentaria,conectandosistemasdesensoresinteligentesparalaindustriaagroalimentaria,conectandosistemasdesensoresinteligentesparalaindustriaagroalimentaria::Conectando sistemas de sensores inteligentes para la industria agroalimentaria,1,high
CVC,cvc,1,Agritech and foodtech online fair,agritechandfoodtechonlinefair,agritechandfoodtechonlinefair::Agritech and foodtech online fair,1,medium
IKERLAN,ikerlan,1,BLOCK4coop Digital transformation of companies with blockchain technology in Industry 4.0,block4coopdigitaltransformationofcompanieswithblockchaintechnologyinindustry40,block4coopdigitaltransformationofcompanieswithblockchaintechnologyinindustry40::BLOCK4coop Digital transformation of companies with blockchain technology in Industry 4.0,3,high
INDO,indo,1,Deep Tech para un envasado sostenible,deeptechparaunenvasadosostenible,deeptechparaunenvasadosostenible::Deep Tech para un envasado sostenible,1,medium
INMA-CSIC,inmacsic,1,AI for Industry International Congress,aiforindustryinternationalcongress,aiforindustryinternationalcongress::AI for Industry International Congress,1,high
Imasenic,imasenic,1,Acercándonos al mercado asiático Best Practices 2,acercndonosalmercadoasiticobestpractices2,acercndonosalmercadoasiticobestpractices2::Acercándonos al mercado asiático Best Practices 2,1,high
Inmersia,inmersia,1,DELVY 7 Financiación alternativa a la financiación bancaria,delvy7financiacinalternativaalafinanciacinbancaria,delvy7financiacinalternativaalafinanciacinbancaria::DELVY 7 Financiación alternativa a la financiación bancaria,1,high
Kadans Science Partner,kadanssciencepartner,1,Branding para Pymes Best Practices,brandingparapymesbestpractices,brandingparapymesbestpractices::Branding para Pymes Best Practices,1,high
Lecta,lecta,1,Deep Tech for Sustainable Packaging,deeptechforsustainablepackaging,deeptechforsustainablepackaging::Deep Tech for Sustainable Packaging,1,unknown
Lenz Instruments,lenzinstruments,1,Branding para Pymes Best Practices,brandingparapymesbestpractices,brandingparapymesbestpractices::Branding para Pymes Best Practices,1,high
Nestlé,nestle,1,Agritech and foodtech online fair,agritechandfoodtechonlinefair,agritechandfoodtechonlinefair::Agritech and foodtech online fair,1,high
Palex Scientific,palexscientific,1,Listeria 0 Tecnologías disruptivas en la industria del ibérico para garantizar la seguridad alimentaria,listeria0tecnologasdisruptivasenlaindustriadelibricoparagarantizarlaseguridadalimentaria,listeria0tecnologasdisruptivasenlaindustriadelibricoparagarantizarlaseguridadalimentaria::Listeria 0 Tecnologías disruptivas en la industria del ibérico para garantizar la seguridad alimentaria,1,high
Photonics Research Labs,photonicsresearchlabs,1,Conectando sistemas de sensores inteligentes para la industria agroalimentaria,conectandosistemasdesensoresinteligentesparalaindustriaagroalimentaria,conectandosistemasdesensoresinteligentesparalaindustriaagroalimentaria::Conectando sistemas de sensores inteligentes para la industria agroalimentaria,1,high
Promsa,promsa,1,Deep tech para tratamiento de agua,deeptechparatratamientodeagua,deeptechparatratamientodeagua::Deep tech para tratamiento de agua,1,high
Qurv Technologies,qurvtechnologies,1,3rd FoodPackLab Innovation workshop,3rdfoodpacklabinnovationworkshop,3rdfoodpacklabinnovationworkshop::3rd FoodPackLab Innovation workshop,1,medium
SENER,sener,1,Aplicaciones de la Luz para la Industria Aeroespacial,aplicacionesdelaluzparalaindustriaaeroespacial,aplicacionesdelaluzparalaindustriaaeroespacial::Aplicaciones de la Luz para la Industria Aeroespacial,1,unknown
Sens Solutions,senssolutions,1,Deep Tech 4 Good Barcelona,deeptech4goodbarcelona,deeptech4goodbarcelona::Deep Tech 4 Good Barcelona,1,medium
Sensofar Medical,sensofarmedical,1,AI for Industry International Congress,aiforindustryinternationalcongress,aiforindustryinternationalcongress::AI for Industry International Congress,1,high
Subsea Mechatronics,subseamechatronics,1,Acercándonos al mercado asiático Best Practices 2,acercndonosalmercadoasiticobestpractices2,acercndonosalmercadoasiticobestpractices2::Acercándonos al mercado asiático Best Practices 2,1,high
TMB,tmb,1,Anticovid Technologies Day,anticovidtechnologiesday,anticovidtechnologiesday::Anticovid Technologies Day,2,high
Tradebe,tradebe,1,Artificial intelligence and photonics applied to industry,artificialintelligenceandphotonicsappliedtoindustry,artificialintelligenceandphotonicsappliedtoindustry::Artificial intelligence and photonics applied to industry,1,high
UDIT,udit,1,Deep Tech Talent Best Practices,deeptechtalentbestpractices,deeptechtalentbestpractices::Deep Tech Talent Best Practices,3,high
VIGO Ventures,vigoventures,1,Become a Member,becomeamember,becomeamember::Become a Member,1,unknown
YSIUM MEDICAL,ysiummedical,1,Deep Tech Talent Best Practices,deeptechtalentbestpractices,deeptechtalentbestpractices::Deep Tech Talent Best Practices,1,high
rbz,rbz,1,Branding para Pymes Best Practices,brandingparapymesbestpractices,brandingparapymesbestpractices::Branding para Pymes Best Practices,1,high
shinephi,shinephi,1,Artificial intelligence and photonics applied to industry,artificialintelligenceandphotonicsappliedtoindustry,artificialintelligenceandphotonicsappliedtoindustry::Artificial intelligence and photonics applied to industry,1,medium
